id,name,role,parent_id
1,Alice_1,CEO,
2,Bob_2,Vice President,1
3,Carol_3,Vice President,1
4,Dave_4,Vice President,1
5,Eve_5,Director,2
6,Frank_6,Director,2
7,Grace_7,Director,2
8,Hank_8,Director,3
9,Iris_9,Director,3
10,Jack_10,Director,3
11,Karen_11,Director,4
12,Leo_12,Director,4
13,Maya_13,Director,4
14,Nate_14,Senior Manager,5
15,Olivia_15,Senior Manager,5
16,Paul_16,Senior Manager,5
17,Quinn_17,Senior Manager,6
18,Rose_18,Senior Manager,6
19,Sam_19,Senior Manager,6
20,Tina_20,Senior Manager,7
21,Uma_21,Senior Manager,7
22,Victor_22,Senior Manager,7
23,Wendy_23,Senior Manager,8
24,Xander_24,Senior Manager,8
25,Yara_25,Senior Manager,8
26,Zack_26,Senior Manager,9
27,Ava_27,Senior Manager,9
28,Ben_28,Senior Manager,9
29,Chloe_29,Senior Manager,10
30,Dylan_30,Senior Manager,10
31,Ella_31,Senior Manager,10
32,Finn_32,Senior Manager,11
33,Alice_33,Senior Manager,11
34,Bob_34,Senior Manager,11
35,Carol_35,Senior Manager,12
36,Dave_36,Senior Manager,12
37,Eve_37,Senior Manager,12
38,Frank_38,Senior Manager,13
39,Grace_39,Senior Manager,13
40,Hank_40,Senior Manager,13
41,Iris_41,Manager,14
42,Jack_42,Manager,14
43,Karen_43,Manager,14
44,Leo_44,Manager,15
45,Maya_45,Manager,15
46,Nate_46,Manager,15
47,Olivia_47,Manager,16
48,Paul_48,Manager,16
49,Quinn_49,Manager,16
50,Rose_50,Manager,17
51,Sam_51,Manager,17
52,Tina_52,Manager,17
53,Uma_53,Manager,18
54,Victor_54,Manager,18
55,Wendy_55,Manager,18
56,Xander_56,Manager,19
57,Yara_57,Manager,19
58,Zack_58,Manager,19
59,Ava_59,Manager,20
60,Ben_60,Manager,20
61,Chloe_61,Manager,20
62,Dylan_62,Manager,21
63,Ella_63,Manager,21
64,Finn_64,Manager,21
65,Alice_65,Manager,22
66,Bob_66,Manager,22
67,Carol_67,Manager,22
68,Dave_68,Manager,23
69,Eve_69,Manager,23
70,Frank_70,Manager,23
71,Grace_71,Manager,24
72,Hank_72,Manager,24
73,Iris_73,Manager,24
74,Jack_74,Manager,25
75,Karen_75,Manager,25
76,Leo_76,Manager,25
77,Maya_77,Manager,26
78,Nate_78,Manager,26
79,Olivia_79,Manager,26
80,Paul_80,Manager,27
81,Quinn_81,Manager,27
82,Rose_82,Manager,27
83,Sam_83,Manager,28
84,Tina_84,Manager,28
85,Uma_85,Manager,28
86,Victor_86,Manager,29
87,Wendy_87,Manager,29
88,Xander_88,Manager,29
89,Yara_89,Manager,30
90,Zack_90,Manager,30
91,Ava_91,Manager,30
92,Ben_92,Manager,31
93,Chloe_93,Manager,31
94,Dylan_94,Manager,31
95,Ella_95,Manager,32
96,Finn_96,Manager,32
97,Alice_97,Manager,32
98,Bob_98,Manager,33
99,Carol_99,Manager,33
100,Dave_100,Manager,33
101,Eve_101,Manager,34
102,Frank_102,Manager,34
103,Grace_103,Manager,34
104,Hank_104,Manager,35
105,Iris_105,Manager,35
106,Jack_106,Manager,35
107,Karen_107,Manager,36
108,Leo_108,Manager,36
109,Maya_109,Manager,36
110,Nate_110,Manager,37
111,Olivia_111,Manager,37
112,Paul_112,Manager,37
113,Quinn_113,Manager,38
114,Rose_114,Manager,38
115,Sam_115,Manager,38
116,Tina_116,Manager,39
117,Uma_117,Manager,39
118,Victor_118,Manager,39
119,Wendy_119,Manager,40
120,Xander_120,Manager,40
121,Yara_121,Manager,40
